Key,Type,Created,Ready for QA,In QA,Ready for Signoff,Done
VD-9231,Bug,2020-07-08,,,,
VD-9230,Bug,2020-07-08,,,,
VD-9229,Bug,2020-07-08,,,,
VD-9228,Story,2020-07-08,,,,
VD-9225,Bug,2020-07-07,2020-07-07,2020-07-08,,
VD-9223,Task,2020-07-07,,,,
VD-9221,Bug,2020-07-07,,,,
VD-9220,Bug,2020-07-07,,,,
VD-9218,Bug,2020-07-07,,,,
VD-9217,Bug,2020-07-07,,,,
VD-9214,Task,2020-07-07,,,,
VD-9213,Bug,2020-07-07,,,,
VD-9212,Task,2020-07-07,,,,
VD-9211,Bug,2020-07-07,,,,
VD-9210,Bug,2020-07-07,,,,
VD-9209,Bug,2020-07-07,,,,
VD-9206,Story,2020-07-07,,,,
VD-9205,Bug,2020-07-07,2020-07-08,,,
VD-9204,Bug,2020-07-06,,,,
VD-9202,Bug,2020-07-06,2020-07-07,2020-07-07,,2020-07-07
VD-9201,Bug,2020-07-06,,,,
VD-9200,Story,2020-07-06,2020-07-07,,,
VD-9199,Bug,2020-07-06,,,,
VD-9198,Story,2020-07-06,,,,
VD-9197,Bug,2020-07-06,,,,
VD-9196,Bug,2020-07-06,,,,
VD-9194,Bug,2020-07-06,2020-07-07,2020-07-08,,
VD-9193,Story,2020-07-06,2020-07-06,2020-07-06,2020-07-06,2020-07-06
VD-9192,Bug,2020-07-06,,,,
VD-9190,Task,2020-07-06,2020-07-07,2020-07-07,2020-07-07,2020-07-07
VD-9189,Bug,2020-07-06,,2020-07-07,,2020-07-07
VD-9185,Bug,2020-07-03,2020-07-04,2020-07-06,,
VD-9184,Bug,2020-07-03,2020-07-04,2020-07-06,,2020-07-06
VD-9182,Bug,2020-07-03,2020-07-03,2020-07-03,,2020-07-06
VD-9181,Bug,2020-07-03,2020-07-04,2020-07-06,,2020-07-06
VD-9180,Bug,2020-07-03,,,,
VD-9177,Story,2020-07-03,,,,
VD-9173,Story,2020-07-03,,,,
VD-9172,Story,2020-07-03,,,,
VD-9171,Story,2020-07-06,,,,
VD-9169,Bug,2020-07-03,2020-07-06,2020-07-06,,2020-07-06
VD-9167,Bug,2020-07-03,,,,
VD-9166,Story,2020-07-03,2020-07-06,2020-07-06,2020-07-06,2020-07-06
VD-9165,Story,2020-07-03,,,,
VD-9164,Bug,2020-07-03,2020-07-03,2020-07-06,,2020-07-06
VD-9163,Bug,2020-07-02,2020-07-02,2020-07-03,,2020-07-03
VD-9161,Bug,2020-07-02,,,,2020-07-02
VD-9160,Bug,2020-07-02,,,,
VD-9159,Bug,2020-07-02,,,,
VD-9158,Bug,2020-07-02,2020-07-06,2020-07-07,,
VD-9157,Bug,2020-07-02,,,,2020-07-06
VD-9155,Bug,2020-07-02,2020-07-03,2020-07-06,,2020-07-06
VD-9154,Bug,2020-07-02,2020-07-07,,,2020-07-07
VD-9153,Story,2020-07-02,,,,
VD-9152,Bug,2020-07-02,2020-07-07,2020-07-08,,
VD-9151,Bug,2020-07-02,,,,2020-07-07
VD-9150,Story,2020-07-02,2020-07-07,,,
VD-9149,Bug,2020-07-02,2020-07-07,2020-07-07,,
VD-9148,Bug,2020-07-02,2020-07-07,,,2020-07-07
VD-9147,Story,2020-07-02,,,,
VD-9146,Story,2020-07-02,2020-07-07,,,
VD-9145,Bug,2020-07-02,2020-07-03,2020-07-03,,2020-07-03
VD-9144,Task,2020-07-01,,,,2020-07-07
VD-9143,Task,2020-07-02,2020-07-07,,,
VD-9142,Story,2020-07-01,2020-07-01,,,2020-07-08
VD-9141,Bug,2020-07-01,,,,2020-07-06
VD-9140,Bug,2020-07-01,2020-07-07,,,2020-07-07
VD-9139,Task,2020-07-02,,,,
VD-9138,Story,2020-07-01,,,,
VD-9137,Bug,2020-07-01,,,,
VD-9133,Bug,2020-07-01,2020-07-06,2020-07-06,,
